Date,T,TM,Tm,SLP,H,VV,V,VM,AQI
2021-01-01T00:00:00,11.0,14.8,0.13,1011,78.77,4.0,6.92,7.2,204.0
2021-01-01T01:00:00,11.0,14.8,0.15,1005,78.43,3.0,6.92,7.2,196.0
2021-01-01T02:00:00,11.0,14.8,0.25,1012,77.59,3.5,6.92,7.2,209.0
2021-01-01T03:00:00,11.0,14.8,0.35,1016,76.48,4.0,6.92,7.2,190.0
2021-01-01T04:00:00,11.0,14.8,0.4,1013,75.39,4.25,6.92,7.2,182.0
2021-01-01T05:00:00,11.0,14.8,0.25,1005,72.98,4.5,6.92,7.2,176.0
2021-01-01T06:00:00,11.0,14.8,0.23,1007,71.74,4.83,6.92,7.2,174.0
2021-01-01T07:00:00,11.0,14.8,0.05,1001,69.91,5.0,6.92,7.2,172.0
2021-01-01T08:00:00,11.0,14.8,0.1,1012,69.91,5.5,6.92,7.2,176.0
2021-01-01T09:00:00,11.0,14.8,0.3,1001,71.69,7.0,6.92,7.2,186.0
2021-01-01T10:00:00,11.0,14.8,0.45,1006,72.99,7.0,6.92,7.2,197.0
2021-01-01T11:00:00,11.0,14.8,0.5,1009,74.58,6.5,6.92,7.2,188.0
2021-01-01T12:00:00,12.85,18.5,0.53,1003,75.44,6.0,6.92,7.2,173.0
2021-01-01T13:00:00,12.85,18.5,0.5,1018,75.93,6.0,6.92,7.2,162.0
2021-01-01T14:00:00,12.85,18.5,0.45,1003,76.48,5.0,6.92,7.2,158.0
2021-01-01T15:00:00,12.85,18.5,0.45,1005,77.59,5.0,6.92,7.2,149.0
2021-01-01T16:00:00,12.85,18.5,0.45,1003,77.87,5.0,6.92,7.2,116.0
2021-01-01T17:00:00,12.85,18.5,0.4,1008,78.15,5.0,6.92,7.2,103.0
2021-01-01T18:00:00,12.85,18.5,0.4,1006,78.26,5.0,6.92,7.2,111.0
2021-01-01T19:00:00,12.85,18.5,0.35,1017,78.43,5.0,6.92,7.2,153.0
2021-01-01T20:00:00,12.85,18.5,0.3,1001,79.0,4.0,6.92,7.2,163.0
2021-01-01T21:00:00,12.85,18.5,0.3,1007,79.0,4.0,6.92,7.2,186.0
2021-01-01T22:00:00,12.85,18.5,0.3,1016,79.0,4.0,6.92,7.2,209.0
2021-01-01T23:00:00,12.85,18.5,0.2,1013,78.43,4.0,6.92,7.2,245.0
2021-01-02T00:00:00,12.85,18.5,0.17,1020,78.66,4.0,6.92,7.2,252.0
2021-01-02T01:00:00,12.85,18.5,0.2,1016,78.71,3.5,6.92,7.2,237.0
2021-01-02T02:00:00,12.85,18.5,0.3,1001,77.59,2.5,6.92,7.2,215.0
2021-01-02T03:00:00,12.85,18.5,0.4,1001,76.75,2.5,6.92,7.2,190.0
2021-01-02T04:00:00,12.85,18.5,0.45,1013,75.12,2.75,6.92,7.2,177.0
2021-01-02T05:00:00,12.85,18.5,0.4,1009,73.25,3.25,6.92,7.2,172.0
2021-01-02T06:00:00,12.85,18.5,0.33,1008,71.75,4.0,6.92,7.2,170.0
2021-01-02T07:00:00,12.85,18.5,0.15,1008,69.91,5.0,6.92,7.2,172.0
2021-01-02T08:00:00,12.85,18.5,-0.05,1013,68.91,6.0,6.92,7.2,180.0
2021-01-02T09:00:00,12.85,18.5,-0.25,1001,67.67,6.0,6.92,7.2,187.0
2021-01-02T10:00:00,12.85,18.5,-0.15,1012,69.39,6.0,6.92,7.2,191.0
2021-01-02T11:00:00,12.85,18.5,0.15,1007,72.2,6.0,6.92,7.2,189.0
2021-01-02T12:00:00,12.8,18.4,0.23,1006,73.51,6.0,6.92,7.2,190.0
2021-01-02T13:00:00,12.8,18.4,0.25,1006,74.31,6.0,6.92,7.2,179.0
2021-01-02T14:00:00,12.8,18.4,0.3,1009,75.93,5.5,6.92,7.2,167.0
2021-01-02T15:00:00,12.8,18.4,0.25,1010,76.2,5.0,6.92,7.2,158.0
2021-01-02T16:00:00,12.8,18.4,0.3,1017,76.48,5.0,6.92,7.2,155.0
2021-01-02T17:00:00,12.8,18.4,0.3,1007,77.31,5.0,6.92,7.2,152.0
2021-01-02T18:00:00,12.8,18.4,0.2,1005,76.75,5.0,6.92,7.2,156.0
2021-01-02T19:00:00,12.8,18.4,0.2,1010,77.31,5.0,6.92,7.2,160.0
2021-01-02T20:00:00,12.8,18.4,0.2,1009,77.31,5.0,6.92,7.2,175.0
2021-01-02T21:00:00,12.8,18.4,0.2,1012,77.87,5.0,6.92,7.2,191.0
2021-01-02T22:00:00,12.8,18.4,0.2,1007,78.43,5.0,6.92,7.2,215.0
2021-01-02T23:00:00,12.8,18.4,0.1,1008,77.87,5.0,6.92,7.2,238.0
2021-01-03T00:00:00,12.8,18.4,0.15,1011,78.15,5.0,6.92,7.2,239.0
2021-01-03T01:00:00,12.8,18.4,0.2,1006,78.15,5.0,6.92,7.2,211.0
2021-01-03T02:00:00,12.8,18.4,0.4,1005,77.59,3.75,6.92,7.2,190.0
2021-01-03T03:00:00,12.8,18.4,0.35,1005,75.11,3.5,6.92,7.2,180.0
2021-01-03T04:00:00,12.8,18.4,0.3,1007,72.99,4.0,6.92,7.2,172.0
2021-01-03T05:00:00,12.8,18.4,0.3,1002,71.69,4.0,6.92,7.2,166.0
2021-01-03T06:00:00,12.8,18.4,0.3,1018,70.57,4.0,6.92,7.2,167.0
2021-01-03T07:00:00,12.8,18.4,0.1,1009,68.92,4.0,6.92,7.2,167.0
2021-01-03T08:00:00,12.8,18.4,0.2,1007,69.42,4.5,6.92,7.2,173.0
2021-01-03T09:00:00,12.8,18.4,0.25,1020,70.42,5.5,6.92,7.2,186.0
2021-01-03T10:00:00,12.8,18.4,0.4,1016,71.95,6.0,6.92,7.2,194.0
2021-01-03T11:00:00,12.8,18.4,0.4,1007,72.73,6.0,6.92,7.2,196.0
2021-01-03T12:00:00,13.85,20.5,0.53,1017,73.84,6.0,6.92,7.2,191.0
2021-01-03T13:00:00,13.85,20.5,0.6,1004,74.32,5.0,6.92,7.2,183.0
2021-01-03T14:00:00,13.85,20.5,0.65,1003,75.12,4.75,6.92,7.2,168.0
2021-01-03T15:00:00,13.85,20.5,0.6,1002,75.39,3.5,6.92,7.2,156.0
2021-01-03T16:00:00,13.85,20.5,0.65,1012,75.94,3.5,6.92,7.2,146.0
2021-01-03T17:00:00,13.85,20.5,0.6,1012,75.93,3.5,6.92,7.2,136.0
2021-01-03T18:00:00,13.85,20.5,0.6,1012,76.21,3.5,6.92,7.2,152.0
2021-01-03T19:00:00,13.85,20.5,0.6,1010,76.21,3.5,6.92,7.2,169.0
2021-01-03T20:00:00,13.85,20.5,0.6,1005,76.21,3.5,6.92,7.2,176.0
2021-01-03T21:00:00,13.85,20.5,0.6,1017,76.76,3.5,6.92,7.2,175.0
2021-01-03T22:00:00,13.85,20.5,0.6,1012,76.76,3.5,6.92,7.2,178.0
2021-01-03T23:00:00,13.85,20.5,0.7,1004,77.31,3.5,6.92,7.2,219.0
2021-01-04T00:00:00,13.85,20.5,0.7,1020,77.48,3.5,6.92,7.2,230.0
2021-01-04T01:00:00,13.85,20.5,0.7,1001,76.76,3.0,6.92,7.2,209.0
2021-01-04T02:00:00,13.85,20.5,0.7,1012,75.94,2.75,6.92,7.2,199.0
2021-01-04T03:00:00,13.85,20.5,0.75,1006,75.67,3.0,6.92,7.2,194.0
2021-01-04T04:00:00,13.85,20.5,0.8,1019,75.13,2.25,6.92,7.2,194.0
2021-01-04T05:00:00,13.85,20.5,0.75,1019,74.32,2.0,6.92,7.2,185.0
2021-01-04T06:00:00,13.85,20.5,0.8,1013,74.59,2.25,6.92,7.2,181.0
2021-01-04T07:00:00,13.85,20.5,0.8,1005,74.33,2.5,6.92,7.2,182.0
2021-01-04T08:00:00,13.85,20.5,0.75,1019,73.79,2.75,6.92,7.2,170.0
2021-01-04T09:00:00,13.85,20.5,0.8,1013,74.06,2.5,6.92,7.2,189.0
2021-01-04T10:00:00,13.85,20.5,0.9,1014,74.86,1.25,6.92,7.2,194.0
2021-01-04T11:00:00,13.85,20.5,0.85,1001,74.86,0.8,6.92,7.2,199.0
2021-01-04T12:00:00,12.3,17.4,0.9,1009,76.05,0.93,6.92,7.2,227.0
2021-01-04T13:00:00,12.3,17.4,1.0,1014,76.76,1.0,6.92,7.2,261.0
2021-01-04T14:00:00,12.3,17.4,1.0,1011,77.04,1.0,6.92,7.2,215.0
2021-01-04T15:00:00,12.3,17.4,1.0,1004,77.59,0.8,6.92,7.2,217.0
2021-01-04T16:00:00,12.3,17.4,0.95,1012,77.59,1.25,6.92,7.2,280.0
2021-01-04T17:00:00,12.3,17.4,0.95,1017,77.87,1.5,6.92,7.2,318.0
2021-01-04T18:00:00,12.3,17.4,0.9,1019,77.87,667.17,6.92,7.2,408.0
2021-01-04T19:00:00,12.3,17.4,50.35,1008,1510.65,2.0,6.92,7.2,472.0
2021-01-04T20:00:00,12.3,17.4,0.8,1015,77.87,2.25,6.92,7.2,522.0
2021-01-04T21:00:00,12.3,17.4,0.8,1008,78.43,3.0,6.92,7.2,567.0
