T,TM,Tm,SLP,H,VV,V,VM,AQI
8.8,18.5,1.2,-,68,5,5.2,14.8,172.75
9.4,19,1.3,-,59,4.7,3.7,9.4,146.79166666666666
12.6,20.5,3,-,56,4.3,4.6,14.8,113.875
,,,,,,,,144.75
,,,,,,,,118.45833333333333
,,,,,,,,170.91666666666666
12.9,23,5,-,54,6.4,7.8,24.1,227.0
11.7,21.4,4,-,61,6.6,6.9,18.3,231.25
12.6,23,4.6,-,58,5.6,6.3,18.3,272.125
,,,,,,,,205.25
,,,,,,,,256.0
,,,,,,,,272.4166666666667
10.9,18,6.6,-,76,3.2,6.7,22.2,228.79166666666666
11,18.2,6,-,77,3.4,5.7,20.6,200.875
11.2,19.8,5.7,-,77,3.4,6.7,20.6,214.04166666666666
,,,,,,,,210.0
,,,,,,,,210.125
,,,,,,,,227.75
11.6,19.2,6,-,67,5.5,6.7,20.6,217.25
10.6,19.5,4.5,-,70,5,7.6,18.3,212.45833333333334
9.9,18.5,4,-,67,4.5,6.1,18.3,202.66666666666666
,,,,,,,,149.875
,,,,,,,,85.08333333333333
,,,,,,,,102.875
9.9,18.3,3.4,-,70,4.8,6.5,25.2,138.79166666666666
9.9,18,2.8,-,65,5.6,5.2,14.4,153.08333333333334
9.7,19,2,-,64,5.5,5.9,14.8,159.70833333333334
,,,,,,,,147.375
,,,,,,,,171.0
,,,,,,,,133.41666666666666
9.2,19,1.8,-,61,6,7.4,22.2,151.875
9.5,18.8,2.5,-,62,5.3,6.3,16.5,224.79166666666666
10.4,19.9,2.7,-,61,5.5,6.7,18.3,177.625
11.3,20.6,3,-,59,5.6,5.6,32.4,149.625
,,,,,,,,114.20833333333333
,,,,,,,,97.5
,,,,,,,,162.0
9.4,18.5,1,-,62,6.8,6.3,28.7,161.16666666666666
11.9,22,2.5,-,54,6.1,5.7,13,136.75
12.1,22,3.7,-,65,6.3,5.7,14.8,50.916666666666664
,,,,,,,,117.20833333333333
-,-,-,-,-,-,-,-,146.75
-,-,-,-,-,-,-,-,166.33333333333334
,,,,,,,,120.20833333333333
,,,,,,,,137.125
13.8,21.2,7,-,72,3.7,8.1,25.2,197.08333333333334
13.5,22.5,5.4,-,67,5,6.3,16.5,161.91666666666666
13.1,23.3,6.5,-,59,6.1,7.2,24.1,161.375
,,,,,,,,144.16666666666666
,,,,,,,,166.375
-,-,-,-,-,-,-,-,126.58333333333333
,,,,,,,,94.91666666666667
15.3,24.2,8,-,64,4.5,6.3,18.3,64.95833333333333
15.8,24.8,10,-,65,4.8,7.4,18.3,157.25
16.1,25,10,-,66,4.2,7,20.6,182.54166666666666
,,,,,,,,133.95833333333334
,,,,,,,,69.25
,,,,,,,,79.29166666666667
18,26.2,12,-,62,5.1,7.4,22.2,92.04166666666667
16.9,27.5,10,-,56,6.1,7.8,24.1,31.625
15.1,25.4,7.5,-,45,7.1,10.9,25.9,20.416666666666668
15.1,24.9,7.3,-,46,6.3,10,25.2,61.125
,,,,,,,,87.79166666666667
,,,,,,,,95.375
,,,,,,,,81.95833333333333
14.9,22,9.5,-,78,4.2,5.7,18.3,49.583333333333336
16.8,27.5,10.6,-,65,5.1,8.3,25.9,34.916666666666664
17.6,27.2,10,-,54,7.1,8.7,27.8,47.5
,,,,,,,,81.29166666666667
,,,,,,,,111.45833333333333
,,,,,,,,133.04166666666666
15.4,22.4,10,-,69,6.1,6.5,18.3,128.83333333333334
16.8,25.7,9.4,-,68,5.8,8,24.1,56.333333333333336
17.3,26.7,10.4,-,63,5.5,8.9,39.6,20.291666666666668
,,,,,,,,34.458333333333336
,,,,,,,,56.791666666666664
,,,,,,,,48.916666666666664
18.7,27.7,11.2,-,53,4.5,6.9,18.3,59.166666666666664
18.6,27,12,-,47,5.5,8,28.7,83.83333333333333
18.8,28.7,10,-,44,5.6,7.4,18.3,89.375
,,,,,,,,65.83333333333333
,,,,,,,,58.666666666666664
,,,,,,,,67.08333333333333
18.5,28.4,10,-,35,5.5,8,20.6,101.375
17.8,28.2,9.5,-,45,3.1,8.3,24.1,109.75
17.6,26.3,10.6,-,52,2.1,7.4,28.7,42.916666666666664
,,,,,,,,84.41666666666667
,,,,,,,,97.08333333333333
,,,,,,,,21.583333333333332
17.9,26.8,12,-,74,3.2,7.8,20.6,47.25
17.4,27,11,-,61,5.6,9.6,29.4,81.20833333333333
17.7,27.5,9.6,-,43,6.4,8.5,22.2,52.291666666666664
17.8,27.9,8.7,-,30,5.8,8.5,32.4,28.458333333333332
,,,,,,,,23.666666666666668
,,,,,,,,67.04166666666667
,,,,,,,,90.0
19.7,28.8,11,-,55,2.7,6.1,14.8,49.5
20,30.7,13,-,53,5.1,9.6,39.6,75.16666666666667
18.7,29.5,11.8,-,55,6.4,9.3,29.4,53.125
,,,,,,,,76.25
,,,,,,,,69.04166666666667
,,,,,,,,41.166666666666664
19.6,30.2,11.4,-,43,4.8,7,18.3,54.708333333333336
21,30,11.8,-,44,4.5,6.9,16.5,52.625
20.9,31,13.5,-,47,5.1,10.6,48.2,51.375
,,,,,,,,45.5
,,,,,,,,56.833333333333336
,,,,,,,,100.41666666666667
19.2,28.5,10,-,56,8,6.3,16.5,94.33333333333333
21.1,31,12,-,52,6.8,7.4,24.1,92.91666666666667
18.2,22.8,14.5,-,65,5.5,6.9,22.2,80.20833333333333
,,,,,,,,76.66666666666667
,,,,,,,,56.875
,,,,,,,,98.375
22.4,32.4,13,-,39,7.9,8.7,22.2,71.66666666666667
22.8,31.6,13.4,-,40,6.6,9.3,20.6,31.833333333333332
22.4,32,14,-,42,6,8.1,25.9,47.666666666666664
,,,,,,,,38.25
,,,,,,,,41.375
,,,,,,,,48.416666666666664
19.3,28.8,13.8,-,73,6,7,22.2,48.125
17.3,22,14,-,89,5.5,3.1,5.4,56.25
19.8,28.7,13.6,-,78,5.3,8.3,31.7,103.41666666666667
,,,,,,,,76.5
,,,,,,,,136.25
,,,,,,,,117.91666666666667
19.9,26,16,-,74,6.8,5,14.8,76.875
20.3,26.7,14.5,-,62,7.1,7.8,20.6,86.375
20.3,28.2,14.3,-,62,8.5,9.1,29.4,77.70833333333333
,,,,,,,,73.41666666666667
,,,,,,,,74.75
,,,,,,,,73.66666666666667
17.6,22.4,14,-,85,6.8,4.1,10.7,48.5
20.4,28.3,13.5,-,66,8.2,9.3,28.7,55.083333333333336
21.7,30.1,14.3,-,63,8.4,8,32.4,67.45833333333333
,,,,,,,,75.04166666666667
,,,,,,,,63.958333333333336
,,,,,,,,32.583333333333336
20.7,23,18,-,86,5.1,3.7,7.6,18.875
19.6,23.1,17.8,-,95,6.3,4.8,37,61.5
22.9,31.5,16.8,-,77,7.6,8.9,32.4,68.91666666666667
,,,,,,,,42.125
,,,,,,,,43.125
,,,,,,,,60.75
21.8,29.5,18.6,-,83,6.9,6.5,27.8,77.375
20.1,22.6,18.3,-,97,6.3,5.2,18,63.916666666666664
